Image,Prediction_for_spring,Prediction_for_summer,Prediction_for_autumn,Prediction_for_winter
/mnt/lake/VBags/140106/frame0127.jpg,0.0004728,4.13e-05,0.0002823,0.999
/mnt/lake/VBags/140106/frame0008.jpg,0.00225,2.04e-05,0.0005183,0.997
/mnt/lake/VBags/140106/frame0038.jpg,0.003216,3.356e-05,0.001749,0.995
/mnt/lake/VBags/140106/frame0018.jpg,0.00298,2.83e-05,0.0007415,0.996
/mnt/lake/VBags/140106/frame0034.jpg,0.002583,5.36e-05,0.003315,0.994
/mnt/lake/VBags/140106/frame0035.jpg,0.00247,2.74e-05,0.0007772,0.9966
/mnt/lake/VBags/140106/frame0128.jpg,0.0004866,0.00010204,0.002216,0.997
/mnt/lake/VBags/140106/frame0009.jpg,0.001187,1.28e-05,0.0002735,0.9985
/mnt/lake/VBags/140106/frame0013.jpg,0.000829,7.4e-06,0.0003247,0.999
/mnt/lake/VBags/140106/frame0036.jpg,0.00181,1.59e-05,0.0002909,0.998
/mnt/lake/VBags/140106/frame0161.jpg,0.0069,0.000141,0.0004845,0.9927
/mnt/lake/VBags/140106/frame0276.jpg,0.002113,1.77e-05,0.001386,0.9966
/mnt/lake/VBags/140106/frame0368.jpg,0.00589,0.000862,0.002457,0.9907
/mnt/lake/VBags/140106/frame0285.jpg,0.00461,2.65e-05,0.000509,0.9946
/mnt/lake/VBags/140106/frame0317.jpg,0.001304,3.42e-05,0.000535,0.998
/mnt/lake/VBags/140106/frame0330.jpg,0.002432,2.79e-05,0.0008807,0.9966
/mnt/lake/VBags/140106/frame0371.jpg,0.00551,0.000988,0.007076,0.9863
/mnt/lake/VBags/140106/frame0338.jpg,0.004353,0.0002615,0.010124,0.9854
/mnt/lake/VBags/140106/frame0294.jpg,0.009514,0.0007224,0.00367,0.9863
/mnt/lake/VBags/140106/frame0301.jpg,0.001244,0.000362,0.0007195,0.9976
/mnt/lake/VBags/140106/frame0259.jpg,0.0363,0.0003629,0.0632,0.9
/mnt/lake/VBags/140106/frame0349.jpg,0.01099,0.007793,0.007435,0.9736
/mnt/lake/VBags/140106/frame0325.jpg,0.02406,0.001717,0.01288,0.9614
/mnt/lake/VBags/140106/frame0358.jpg,0.004925,0.0008426,0.01076,0.9834
/mnt/lake/VBags/140106/frame0321.jpg,0.01211,0.002008,0.00859,0.977
/mnt/lake/VBags/140106/frame0360.jpg,0.00868,0.001069,0.00269,0.988
/mnt/lake/VBags/140106/frame0350.jpg,0.002745,0.000716,0.003994,0.9927
/mnt/lake/VBags/140106/frame0385.jpg,0.005642,0.0001033,0.000212,0.994
/mnt/lake/VBags/140106/frame0327.jpg,0.01596,0.002161,0.02435,0.9575
/mnt/lake/VBags/140106/frame0322.jpg,0.0121,0.0008764,0.01084,0.976
/mnt/lake/VBags/140106/frame0081.jpg,0.001099,3.21e-05,0.00010544,0.9985
/mnt/lake/VBags/140106/frame0076.jpg,0.007935,0.0002358,0.000427,0.991
/mnt/lake/VBags/140106/frame0156.jpg,0.0097,0.0001618,0.00066,0.9893
/mnt/lake/VBags/140106/frame0273.jpg,0.0248,0.0001078,0.000271,0.9746
/mnt/lake/VBags/140106/frame0079.jpg,0.007694,0.0001031,0.0001547,0.992
/mnt/lake/VBags/140106/frame0155.jpg,0.00818,8.02e-05,0.000651,0.991
/mnt/lake/VBags/140106/frame0141.jpg,0.00781,8.67e-05,0.000918,0.991
/mnt/lake/VBags/140106/frame0154.jpg,0.00806,0.0002713,0.0003948,0.991
/mnt/lake/VBags/140106/frame0084.jpg,0.01032,1.81e-05,0.0002282,0.9893
/mnt/lake/VBags/140106/frame0113.jpg,0.03482,0.005016,0.004223,0.956
/mnt/lake/VBags/140117/frame0055.jpg,0.0642,0.0005646,0.0485,0.8867
/mnt/lake/VBags/140117/frame0061.jpg,0.005955,0.0001316,0.00789,0.986
/mnt/lake/VBags/140117/frame0035.jpg,0.003822,0.0001085,0.0002369,0.9956
/mnt/lake/VBags/140117/frame0000.jpg,0.01996,0.00075,0.04715,0.932
/mnt/lake/VBags/140117/frame0086.jpg,0.1632,0.001033,0.00695,0.8286
/mnt/lake/VBags/140117/frame0058.jpg,0.0332,0.0001826,0.01112,0.9556
/mnt/lake/VBags/140117/frame0243.jpg,0.2803,0.005135,0.09247,0.622
/mnt/lake/VBags/140117/frame0183.jpg,0.11664,0.0003626,0.0345,0.8486
/mnt/lake/VBags/140117/frame0073.jpg,0.07806,0.00012106,0.01444,0.907
/mnt/lake/VBags/140117/frame0333.jpg,0.006535,0.0003104,0.02353,0.9697
/mnt/lake/VBags/140117/frame0018.jpg,0.03305,0.0002371,0.000391,0.9663
/mnt/lake/VBags/140117/frame0318.jpg,0.0166,0.002247,0.0008802,0.9805
/mnt/lake/VBags/140117/frame0369.jpg,0.01999,0.0002291,0.00159,0.978
/mnt/lake/VBags/140117/frame0360.jpg,0.00793,0.0003428,0.001235,0.9907
/mnt/lake/VBags/140117/frame0266.jpg,0.008545,5.85e-05,0.003563,0.988
/mnt/lake/VBags/140117/frame0336.jpg,0.005116,0.0005145,0.0193,0.975
/mnt/lake/VBags/140117/frame0372.jpg,0.00967,0.0004964,0.00403,0.986
/mnt/lake/VBags/140117/frame0316.jpg,0.01817,0.000566,0.004593,0.9766
/mnt/lake/VBags/140117/frame0368.jpg,0.01358,0.000606,0.003654,0.982
/mnt/lake/VBags/140117/frame0315.jpg,0.01865,0.00059,0.03946,0.9414
/mnt/lake/VBags/140117/frame0334.jpg,0.0179,0.0004275,0.01996,0.962
/mnt/lake/VBags/140117/frame0364.jpg,0.03668,0.004887,0.04156,0.917
/mnt/lake/VBags/140117/frame0280.jpg,0.02924,0.0002233,0.0172,0.953
/mnt/lake/VBags/140117/frame0291.jpg,0.01163,0.000291,0.004772,0.9834
/mnt/lake/VBags/140117/frame0215.jpg,0.01434,0.000703,0.02557,0.9595
/mnt/lake/VBags/140117/frame0335.jpg,0.00687,7.516e-05,0.004795,0.9883
/mnt/lake/VBags/140117/frame0226.jpg,0.0775,0.0003374,0.03467,0.887
/mnt/lake/VBags/140117/frame0343.jpg,0.02484,0.004055,0.0952,0.876
/mnt/lake/VBags/140117/frame0277.jpg,0.02713,0.0010195,0.1913,0.781
/mnt/lake/VBags/140117/frame0005.jpg,0.005203,2.074e-05,0.003466,0.991
/mnt/lake/VBags/140117/frame0003.jpg,0.1328,6.74e-05,0.000742,0.866
/mnt/lake/VBags/140117/frame0087.jpg,0.143,0.001163,0.0069,0.849
/mnt/lake/VBags/140117/frame0059.jpg,0.03436,0.0004752,0.036,0.929
/mnt/lake/VBags/140117/frame0012.jpg,0.02635,5.084e-05,9.805e-05,0.9736
/mnt/lake/VBags/140117/frame0020.jpg,0.02556,0.0001165,0.0001695,0.974
/mnt/lake/VBags/140117/frame0275.jpg,0.02002,0.0001436,0.014885,0.965
/mnt/lake/VBags/140117/frame0116.jpg,0.02472,0.000321,0.002998,0.972
/mnt/lake/VBags/140117/frame0050.jpg,0.05157,0.0009155,0.004436,0.943
/mnt/lake/VBags/140117/frame0131.jpg,0.02641,0.0004544,0.012474,0.9604
/mnt/lake/VBags/140117/frame0251.jpg,0.07245,0.0001324,0.03069,0.8965
/mnt/lake/VBags/140122/frame0300.jpg,0.001064,9.4e-06,0.0006065,0.9985
/mnt/lake/VBags/140122/frame0220.jpg,0.1532,4.065e-05,0.00516,0.8413
/mnt/lake/VBags/140122/frame0279.jpg,0.003834,0.0001464,0.01297,0.983
/mnt/lake/VBags/140122/frame0281.jpg,0.005383,0.000865,0.01486,0.979
/mnt/lake/VBags/140122/frame0297.jpg,0.001984,8.184e-05,0.002317,0.9956
/mnt/lake/VBags/140122/frame0303.jpg,0.001453,7.015e-05,0.0010805,0.9976
/mnt/lake/VBags/140122/frame0312.jpg,0.05334,0.0001167,0.000773,0.946
/mnt/lake/VBags/140122/frame0298.jpg,0.001032,5.645e-05,0.0003917,0.9985
/mnt/lake/VBags/140122/frame0204.jpg,0.0378,5.34e-05,0.002455,0.9595
/mnt/lake/VBags/140122/frame0307.jpg,0.001754,4.125e-05,0.0001533,0.998
/mnt/lake/VBags/140122/frame0282.jpg,0.00646,0.000195,0.00465,0.989
/mnt/lake/VBags/140122/frame0285.jpg,0.003933,0.0006123,0.002876,0.9927
/mnt/lake/VBags/140122/frame0306.jpg,0.000732,1.42e-05,6.807e-05,0.999
/mnt/lake/VBags/140122/frame0290.jpg,0.03036,0.00553,0.03387,0.93
/mnt/lake/VBags/140122/frame0305.jpg,0.001064,2.16e-05,0.000188,0.9985
/mnt/lake/VBags/140122/frame0258.jpg,0.007378,0.000841,0.010086,0.982
/mnt/lake/VBags/140122/frame0091.jpg,0.0257,0.0008006,0.00945,0.964
/mnt/lake/VBags/140122/frame0294.jpg,0.01322,0.0001638,9.26e-05,0.9863
/mnt/lake/VBags/140122/frame0264.jpg,0.01578,0.0007377,0.007687,0.9756
/mnt/lake/VBags/140122/frame0141.jpg,0.1702,0.0003388,0.00498,0.8247
/mnt/lake/VBags/140122/frame0302.jpg,0.0004802,2.664e-05,0.0001442,0.9995
/mnt/lake/VBags/140122/frame0301.jpg,0.0005975,3.046e-05,0.0001441,0.999
/mnt/lake/VBags/140122/frame0299.jpg,0.0004728,3.24e-05,0.0001823,0.9995
/mnt/lake/VBags/140122/frame0259.jpg,0.2263,0.00285,0.0846,0.686
/mnt/lake/VBags/140122/frame0077.jpg,0.00562,0.0003884,0.003685,0.99
/mnt/lake/VBags/140122/frame0181.jpg,0.3606,0.003023,0.0325,0.604
/mnt/lake/VBags/140122/frame0288.jpg,0.010414,0.000999,0.02104,0.968
/mnt/lake/VBags/140122/frame0283.jpg,0.0304,0.002169,0.0509,0.9165
/mnt/lake/VBags/140122/frame0304.jpg,0.001597,5.64e-05,0.0001311,0.998
/mnt/lake/VBags/140122/frame0286.jpg,0.02913,0.006706,0.04373,0.9204
/mnt/lake/VBags/140122/frame0051.jpg,0.0006666,1.186e-05,1.92e-05,0.9995
/mnt/lake/VBags/140122/frame0308.jpg,0.013214,0.0001423,0.0004592,0.9863
/mnt/lake/VBags/140122/frame0296.jpg,0.004196,8.99e-05,0.0002682,0.9956
/mnt/lake/VBags/140122/frame0063.jpg,0.05795,0.004833,0.001644,0.9355
/mnt/lake/VBags/140122/frame0263.jpg,0.04288,0.0004406,0.01067,0.946
/mnt/lake/VBags/140122/frame0315.jpg,0.02367,0.0003376,0.0008483,0.975
/mnt/lake/VBags/140122/frame0061.jpg,0.0416,0.002743,0.00928,0.9463
/mnt/lake/VBags/140122/frame0260.jpg,0.007397,0.001152,0.00763,0.984
/mnt/lake/VBags/140122/frame0273.jpg,0.00961,0.0002482,0.00992,0.9805
/mnt/lake/VBags/140122/frame0180.jpg,0.11554,0.002398,0.014694,0.867
/mnt/lake/VBags/140129/frame0077.jpg,0.0006876,3.3e-06,0.0002002,0.999
/mnt/lake/VBags/140129/frame0365.jpg,0.000717,0.0002723,0.004604,0.9946
/mnt/lake/VBags/140129/frame0076.jpg,0.000511,3.8e-06,8.214e-05,0.9995
/mnt/lake/VBags/140129/frame0016.jpg,0.002548,1.246e-05,0.0008144,0.9966
/mnt/lake/VBags/140129/frame0356.jpg,0.003231,0.0007796,0.01201,0.984
/mnt/lake/VBags/140129/frame0078.jpg,0.002888,2.12e-05,0.000937,0.996
/mnt/lake/VBags/140129/frame0075.jpg,0.001187,9.2e-06,0.0007906,0.998
/mnt/lake/VBags/140129/frame0079.jpg,0.003069,3.2e-05,0.002176,0.9946
/mnt/lake/VBags/140129/frame0399.jpg,0.00617,0.0003169,0.003626,0.9897
/mnt/lake/VBags/140129/frame0364.jpg,0.007286,6.66e-05,0.008,0.985
/mnt/lake/VBags/140129/frame0204.jpg,0.02437,3.284e-05,0.002129,0.9736
/mnt/lake/VBags/140129/frame0085.jpg,0.000257,1.03e-05,6.604e-05,0.9995
/mnt/lake/VBags/140129/frame0362.jpg,0.01253,0.000478,0.02267,0.9644
/mnt/lake/VBags/140129/frame0387.jpg,0.008286,0.0003314,0.003347,0.988
/mnt/lake/VBags/140129/frame0402.jpg,0.003098,0.001038,0.007202,0.989
/mnt/lake/VBags/140129/frame0354.jpg,0.000814,6.38e-05,0.003073,0.996
/mnt/lake/VBags/140129/frame0412.jpg,0.00867,0.0003362,0.004566,0.9863
/mnt/lake/VBags/140129/frame0392.jpg,0.00658,0.001744,0.01483,0.977
/mnt/lake/VBags/140129/frame0416.jpg,0.01033,0.000454,0.01457,0.9746
/mnt/lake/VBags/140129/frame0366.jpg,0.007206,0.0004003,0.01869,0.9736
/mnt/lake/VBags/140129/frame0117.jpg,0.01991,0.00346,0.0173,0.9595
/mnt/lake/VBags/140129/frame0395.jpg,0.01007,0.001863,0.00809,0.98
/mnt/lake/VBags/140129/frame0334.jpg,0.02591,0.00203,0.0441,0.9277
/mnt/lake/VBags/140129/frame0372.jpg,0.004955,6.145e-05,0.005116,0.9897
/mnt/lake/VBags/140129/frame0370.jpg,0.008804,0.000757,0.01953,0.9707
/mnt/lake/VBags/140129/frame0360.jpg,0.003578,0.001337,0.003157,0.9917
/mnt/lake/VBags/140129/frame0405.jpg,0.01559,0.002142,0.01794,0.9644
