Image,Ground Truth Season,a photo of spring,a photo of summer,a photo of autumn,a photo of winter,blooming flowers,dense green trees,colorful leaves,bare trees,a colorful wildflowers,sunlit wheat fields,yellow leaves,icy rivers,green grass and fresh buds on trees,dense green trees in summer,brown leaves in fall,cold weather with bare trees
/mnt/lake/VBags/140106/frame0127.jpg,Winter,0.1251,0.068,0.003897,0.803,0.0009537,0.001064,1.93e-05,0.998,6e-06,2.37e-05,0.0005035,0.9995,0.0004728,4.13e-05,0.0002823,0.999
/mnt/lake/VBags/140106/frame0008.jpg,Winter,0.1469,0.0824,0.0009594,0.7695,0.01321,0.00119,0.00010085,0.9854,0.0001805,0.001453,0.03156,0.967,0.00225,2.04e-05,0.0005183,0.997
/mnt/lake/VBags/140106/frame0038.jpg,Winter,0.0923,0.1451,0.001885,0.7607,0.0255,0.002335,0.000546,0.9717,0.0003142,0.001572,0.07574,0.9224,0.003216,3.356e-05,0.001749,0.995
/mnt/lake/VBags/140106/frame0018.jpg,Winter,0.1407,0.1204,0.001042,0.738,0.02094,0.001338,0.0001701,0.9775,0.0003014,0.00146,0.03455,0.964,0.00298,2.83e-05,0.0007415,0.996
/mnt/lake/VBags/140106/frame0034.jpg,Winter,0.1192,0.1483,0.00215,0.7305,0.0259,0.001997,0.0003524,0.9717,9.656e-05,0.001583,0.03958,0.959,0.002583,5.36e-05,0.003315,0.994
/mnt/lake/VBags/140106/frame0035.jpg,Winter,0.1533,0.11395,0.0011,0.7314,0.02365,0.00166,0.0001723,0.9746,0.0002302,0.001254,0.03842,0.96,0.00247,2.74e-05,0.0007772,0.9966
/mnt/lake/VBags/140106/frame0128.jpg,Winter,0.1193,0.129,0.009346,0.742,0.002928,0.00221,0.0002089,0.9946,1.043e-05,5.996e-05,0.0028,0.997,0.0004866,0.00010204,0.002216,0.997
/mnt/lake/VBags/140106/frame0009.jpg,Winter,0.1572,0.115,0.0009346,0.727,0.008705,0.0007257,8.4e-05,0.9907,0.0002223,0.001309,0.02672,0.9717,0.001187,1.28e-05,0.0002735,0.9985
/mnt/lake/VBags/140106/frame0013.jpg,Winter,0.1357,0.1276,0.002605,0.734,0.002148,0.0004573,6.187e-05,0.9976,0.000241,0.001635,0.0825,0.9155,0.000829,7.4e-06,0.0003247,0.999
/mnt/lake/VBags/140106/frame0036.jpg,Winter,0.1501,0.1324,0.001094,0.7163,0.00734,0.000933,9.24e-05,0.9917,0.000255,0.001974,0.03668,0.961,0.00181,1.59e-05,0.0002909,0.998
/mnt/lake/VBags/140106/frame0161.jpg,Winter,0.65,0.08264,0.00871,0.2585,0.0003622,0.001048,7e-06,0.9985,0.0004253,0.001289,0.01097,0.9873,0.0069,0.000141,0.0004845,0.9927
/mnt/lake/VBags/140106/frame0276.jpg,Winter,0.2415,0.0931,0.00936,0.6562,0.0006666,0.0002303,1.67e-05,0.999,0.0004082,5.57e-05,0.02194,0.9775,0.002113,1.77e-05,0.001386,0.9966
/mnt/lake/VBags/140106/frame0368.jpg,Winter,0.5015,0.03012,0.004272,0.4639,0.0005493,0.006485,2.164e-05,0.993,0.0002395,6.01e-05,0.0164,0.9834,0.00589,0.000862,0.002457,0.9907
/mnt/lake/VBags/140106/frame0285.jpg,Winter,0.5244,0.05115,0.009315,0.415,0.001699,0.0005875,4.82e-05,0.9976,0.006905,0.00136,0.05872,0.933,0.00461,2.65e-05,0.000509,0.9946
/mnt/lake/VBags/140106/frame0317.jpg,Winter,0.175,0.03726,0.003157,0.7847,0.000253,0.0009546,1.18e-05,0.999,9.394e-05,3.856e-05,0.01495,0.985,0.001304,3.42e-05,0.000535,0.998
/mnt/lake/VBags/140106/frame0330.jpg,Winter,0.4805,0.06604,0.002367,0.4512,0.000709,0.000656,2.277e-05,0.9985,6.324e-05,9.2e-06,0.004005,0.996,0.002432,2.79e-05,0.0008807,0.9966
/mnt/lake/VBags/140106/frame0371.jpg,Winter,0.511,0.0725,0.005768,0.4106,0.001027,0.005135,2.38e-05,0.9937,0.000437,0.0001114,0.08264,0.917,0.00551,0.000988,0.007076,0.9863
/mnt/lake/VBags/140106/frame0338.jpg,Winter,0.5005,0.1066,0.00875,0.384,0.00103,0.002548,8.86e-05,0.996,0.0007935,1.88e-05,0.0362,0.963,0.004353,0.0002615,0.010124,0.9854
/mnt/lake/VBags/140106/frame0294.jpg,Winter,0.5215,0.098,0.004658,0.3757,0.003113,0.003366,1.15e-05,0.9937,0.001183,0.000442,0.03458,0.964,0.009514,0.0007224,0.00367,0.9863
/mnt/lake/VBags/140106/frame0301.jpg,Winter,0.1886,0.0964,0.003098,0.712,0.0004036,0.00205,8.5e-06,0.9976,3.38e-05,3.03e-05,0.00582,0.994,0.001244,0.000362,0.0007195,0.9976
/mnt/lake/VBags/140106/frame0259.jpg,Winter,0.1414,0.6953,0.005566,0.1576,0.5996,0.001879,0.02342,0.3752,0.002865,0.0001404,0.000498,0.9966,0.0363,0.0003629,0.0632,0.9
/mnt/lake/VBags/140106/frame0349.jpg,Winter,0.516,0.0897,0.00426,0.3896,0.001375,0.0402,4.93e-05,0.9585,8.845e-05,2.56e-05,0.00461,0.995,0.01099,0.007793,0.007435,0.9736
/mnt/lake/VBags/140106/frame0325.jpg,Winter,0.5654,0.06052,0.00331,0.3708,0.002829,0.02122,0.0001149,0.976,0.0001928,2e-05,0.00701,0.9927,0.02406,0.001717,0.01288,0.9614
/mnt/lake/VBags/140106/frame0358.jpg,Winter,0.433,0.1078,0.00545,0.4539,0.003387,0.01201,0.00010556,0.9844,4.75e-05,9.36e-06,0.00205,0.998,0.004925,0.0008426,0.01076,0.9834
/mnt/lake/VBags/140106/frame0321.jpg,Winter,0.4414,0.0698,0.00388,0.4849,0.002563,0.0259,0.0001218,0.971,0.000127,3.815e-05,0.01033,0.9897,0.01211,0.002008,0.00859,0.977
/mnt/lake/VBags/140106/frame0360.jpg,Winter,0.4883,0.03708,0.001415,0.4731,0.001102,0.01204,3.89e-05,0.987,8.32e-05,2.02e-05,0.003765,0.996,0.00868,0.001069,0.00269,0.988
/mnt/lake/VBags/140106/frame0350.jpg,Winter,0.3074,0.11664,0.002007,0.574,0.001028,0.004395,1.77e-05,0.9946,1.91e-05,1.407e-05,0.000883,0.999,0.002745,0.000716,0.003994,0.9927
/mnt/lake/VBags/140106/frame0385.jpg,Winter,0.4106,0.1293,0.001787,0.4583,0.001472,0.003532,5.037e-05,0.995,0.0001894,0.0003679,0.000732,0.9985,0.005642,0.0001033,0.000212,0.994
/mnt/lake/VBags/140106/frame0327.jpg,Winter,0.378,0.07556,0.00539,0.541,0.01156,0.02565,0.0003603,0.9624,0.0004065,9.81e-05,0.01032,0.9893,0.01596,0.002161,0.02435,0.9575
/mnt/lake/VBags/140106/frame0322.jpg,Winter,0.4783,0.05365,0.004616,0.4636,0.000988,0.01223,6.217e-05,0.987,0.00012106,1.26e-05,0.011154,0.989,0.0121,0.0008764,0.01084,0.976
/mnt/lake/VBags/140106/frame0081.jpg,Winter,0.22,0.0447,0.002642,0.733,0.0008287,0.001187,1.24e-05,0.998,3.093e-05,2.46e-05,0.001623,0.9985,0.001099,3.21e-05,0.00010544,0.9985
