Image,Prediction,Confidence
/mnt/lake/VBags/140106/frame0127.jpg,Winter,0.803
/mnt/lake/VBags/140106/frame0008.jpg,Winter,0.7695
/mnt/lake/VBags/140106/frame0038.jpg,Winter,0.7607
/mnt/lake/VBags/140106/frame0018.jpg,Winter,0.738
/mnt/lake/VBags/140106/frame0034.jpg,Winter,0.7305
/mnt/lake/VBags/140106/frame0035.jpg,Winter,0.7314
/mnt/lake/VBags/140106/frame0128.jpg,Winter,0.742
/mnt/lake/VBags/140106/frame0009.jpg,Winter,0.727
/mnt/lake/VBags/140106/frame0013.jpg,Winter,0.734
/mnt/lake/VBags/140106/frame0036.jpg,Winter,0.7163
/mnt/lake/VBags/140106/frame0161.jpg,Spring,0.65
/mnt/lake/VBags/140106/frame0276.jpg,Winter,0.6562
/mnt/lake/VBags/140106/frame0368.jpg,Spring,0.5015
/mnt/lake/VBags/140106/frame0285.jpg,Spring,0.5244
/mnt/lake/VBags/140106/frame0317.jpg,Winter,0.7847
/mnt/lake/VBags/140106/frame0330.jpg,Spring,0.4805
/mnt/lake/VBags/140106/frame0371.jpg,Spring,0.511
/mnt/lake/VBags/140106/frame0338.jpg,Spring,0.5005
/mnt/lake/VBags/140106/frame0294.jpg,Spring,0.5215
/mnt/lake/VBags/140106/frame0301.jpg,Winter,0.712
/mnt/lake/VBags/140106/frame0259.jpg,Summer,0.6953
/mnt/lake/VBags/140106/frame0349.jpg,Spring,0.516
/mnt/lake/VBags/140106/frame0325.jpg,Spring,0.5654
/mnt/lake/VBags/140106/frame0358.jpg,Winter,0.4539
/mnt/lake/VBags/140106/frame0321.jpg,Winter,0.4849
/mnt/lake/VBags/140106/frame0360.jpg,Spring,0.4883
/mnt/lake/VBags/140106/frame0350.jpg,Winter,0.574
/mnt/lake/VBags/140106/frame0385.jpg,Winter,0.4583
/mnt/lake/VBags/140106/frame0327.jpg,Winter,0.541
/mnt/lake/VBags/140106/frame0322.jpg,Spring,0.4783
/mnt/lake/VBags/140106/frame0081.jpg,Winter,0.733
/mnt/lake/VBags/140106/frame0076.jpg,Winter,0.5776
/mnt/lake/VBags/140106/frame0156.jpg,Spring,0.5605
/mnt/lake/VBags/140106/frame0273.jpg,Winter,0.614
/mnt/lake/VBags/140106/frame0079.jpg,Winter,0.5034
/mnt/lake/VBags/140106/frame0155.jpg,Spring,0.6743
/mnt/lake/VBags/140106/frame0141.jpg,Spring,0.6587
/mnt/lake/VBags/140106/frame0154.jpg,Winter,0.564
/mnt/lake/VBags/140106/frame0084.jpg,Spring,0.5864
/mnt/lake/VBags/140106/frame0113.jpg,Spring,0.536
/mnt/lake/VBags/140117/frame0055.jpg,Winter,0.5996
/mnt/lake/VBags/140117/frame0061.jpg,Winter,0.6104
/mnt/lake/VBags/140117/frame0035.jpg,Winter,0.511
/mnt/lake/VBags/140117/frame0000.jpg,Winter,0.441
/mnt/lake/VBags/140117/frame0086.jpg,Spring,0.4854
/mnt/lake/VBags/140117/frame0058.jpg,Spring,0.4363
/mnt/lake/VBags/140117/frame0243.jpg,Spring,0.4583
/mnt/lake/VBags/140117/frame0183.jpg,Spring,0.4207
/mnt/lake/VBags/140117/frame0073.jpg,Spring,0.522
/mnt/lake/VBags/140117/frame0333.jpg,Spring,0.439
/mnt/lake/VBags/140117/frame0018.jpg,Spring,0.5415
/mnt/lake/VBags/140117/frame0318.jpg,Spring,0.724
/mnt/lake/VBags/140117/frame0369.jpg,Spring,0.7256
/mnt/lake/VBags/140117/frame0360.jpg,Spring,0.7725
/mnt/lake/VBags/140117/frame0266.jpg,Spring,0.508
/mnt/lake/VBags/140117/frame0336.jpg,Spring,0.6025
/mnt/lake/VBags/140117/frame0372.jpg,Spring,0.7524
/mnt/lake/VBags/140117/frame0316.jpg,Spring,0.6616
/mnt/lake/VBags/140117/frame0368.jpg,Spring,0.7065
/mnt/lake/VBags/140117/frame0315.jpg,Spring,0.7417
/mnt/lake/VBags/140117/frame0334.jpg,Spring,0.6763
/mnt/lake/VBags/140117/frame0364.jpg,Spring,0.622
